company_permalink,angel,convertible_note,debt_financing,post_ipo_equity,private_equity,seed,undisclosed,venture,A,B,C,D,E,F,G,H,sum(raised_amount_usd)
/organization/qwaya,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3006074
/organization/redux,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4500000
/organization/qlusters,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10360000
/organization/vindicia,0,0,0,0,0,0,0,5,1,1,1,1,1,0,0,0,37600000
/organization/uplift-inc,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8199999
/organization/travelbird,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,40891652
/organization/qualisystems,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10000000
/organization/reactive-nanotechnologies,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,14300000
/organization/sportpursuit,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,22024487
/organization/tizra,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,350000
/organization/touchring-tr,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2000000
/organization/tekvox,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,510000
/organization/theracoat,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7000000
/organization/terviva,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2000000
/organization/zealot-network,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,26530105
/organization/yammer,0,0,0,0,0,0,0,5,1,1,1,1,1,0,0,0,142000000
/organization/segetis,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,32236273
/organization/secureauth,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,13000000
/organization/zenedge,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,7500000
/organization/flashline,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5000000
/organization/myseasons,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10500000
/organization/boxee,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,26500000
/organization/castle-biosciences,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,11700000
/organization/bluearc,0,0,0,0,0,0,0,4,1,1,1,0,1,0,0,0,125000000
/organization/hmicro,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5500000
/organization/achates-power,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,54300000
/organization/crowdtwist,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,15000000
/organization/jive-software,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,57000000
/organization/cadec-global,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4000000
/organization/fly-blade,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6000000
/organization/dxy,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,80000000
/organization/gaia,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,31930000
/organization/envista,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,9100000
/organization/aperio-technologies,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,40600000
/organization/corepair,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,5685000
/organization/keep-holdings,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,43000000
/organization/mmchannel,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2977800
/organization/enerpulse,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,10500000
/organization/baanto-international,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6000000
/organization/exanet,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17000000
/organization/karma-gaming,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4835597
/organization/mbio-diagnostics,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,8297424
/organization/pipedrive,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9000000
/organization/niu-com,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,20000000
/organization/lifesum,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6700000
/organization/azuqua,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5000000
/organization/deepdyve,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5000000
/organization/impinj,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,33000000
/organization/bloomthat,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5500000
/organization/fountain,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4000000
/organization/orchestra-corporation,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,31000000
/organization/globalmedia-group,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,855620
/organization/healthtell,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9486929
/organization/netezza,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,40000000
/organization/neartek,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,27000000
/organization/madwire-media,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,7500000
/organization/nutonian,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4000000
/organization/numara,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5653147
/organization/beddit,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3500000
/organization/guavus,0,0,0,0,0,0,0,5,0,1,1,1,2,0,0,0,109000000
/organization/beam-express,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1300000
/organization/anunta-technology-management-services,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3000000
